gene	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
UQCRC2	0.156850915	0.436956522	-0.546282033	0.174	0.3	1
RNF20	0.156850915	0.436956522	-0.546282033	0.174	0.3	1
ARHGAP29	0.156905896	0.422826087	-0.564203941	0.457	0.58	1
TNS3	0.157274428	0.437391304	-0.766696804	0.174	0.3	1
PRICKLE2	0.157886205	0.419565217	-0.729263187	0.543	0.66	1
MIS12	0.158133136	0.564130435	0.553253641	0.326	0.2	1
RLF	0.158276493	0.425869565	-0.429044357	0.413	0.54	1
SFSWAP	0.158586161	0.435217391	-0.375663261	0.196	0.34	1
PLCB4	0.158602933	0.435652174	-0.581481932	0.196	0.32	1
MSN	0.159319544	0.573478261	0.589138177	0.478	0.38	1
APPL1	0.159620169	0.557826087	0.472965852	0.261	0.14	1
RBM17	0.159866335	0.430217391	-0.469829972	0.283	0.42	1
SLC3A2	0.160171839	0.437826087	-0.596771803	0.174	0.3	1
MACROD2	0.160298075	0.565869565	0.881782147	0.348	0.22	1
mikado.WCK01-AAH20201022-F8-rsc00073G177	0.160819113	0.557826087	0.33752495	0.261	0.14	1
CUL3	0.161376985	0.57326087	0.532554648	0.522	0.4	1
Clec2h;Clec2e;Clec2f;Clec2d;Clec2g;Clec2i	0.161694614	0.571304348	0.392206791	0.457	0.32	1
ADGRL4	0.161720938	0.422608696	-0.309616542	0.435	0.62	1
ASXL2	0.162380948	0.427826087	-0.381454899	0.348	0.5	1
PDE4B	0.162940481	0.581086957	0.360786071	0.739	0.68	1
TNFAIP8	0.162973509	0.576956522	0.721198278	0.543	0.52	1
mikado.WCK01-AAH20201022-F8-rsc00080G1043	0.163564242	0.566304348	0.511084187	0.37	0.24	1
NUAK2	0.163869785	0.56673913	0.531720479	0.37	0.24	1
COMMD10	0.163873701	0.441521739	-0.803084485	0.152	0.26	1
MCUB	0.164064246	0.565	0.628441137	0.348	0.22	1
RARB	0.164510535	0.426086957	-0.468027279	0.348	0.52	1
SYNE1	0.164933867	0.433695652	-0.82659443	0.239	0.36	1
PRRC2C	0.166043567	0.574130435	0.31862295	0.696	0.58	1
SCAMP1	0.16616891	0.561086957	0.506185387	0.304	0.18	1
TGS1	0.16616891	0.561086957	0.506185387	0.304	0.18	1
CDYL	0.167968606	0.430869565	-0.469329644	0.283	0.42	1
SPTAN1	0.168173455	0.569130435	0.33893452	0.457	0.3	1
SMURF2	0.168673623	0.420652174	-0.936212862	0.696	0.76	1
UBA6	0.168944421	0.428695652	-0.629382412	0.348	0.46	1
PPP4R3A	0.169205854	0.573478261	0.359869667	0.543	0.4	1
GAB1	0.1698619	0.566086957	0.736965594	0.37	0.26	1
CD2AP-1	0.170045933	0.572826087	0.506711055	0.522	0.42	1
STK17A	0.17043677	0.43326087	-0.750972452	0.261	0.36	1
NOS1AP	0.170578517	0.562608696	0.476438044	0.326	0.2	1
SBNO2	0.17179743	0.560434783	0.618545101	0.304	0.18	1
RASIP1	0.17213324	0.561956522	0.484866666	0.326	0.2	1
RPL34	0.172970037	0.432826087	-0.600183238	0.283	0.4	1
RNF169	0.173162818	0.566304348	0.476438044	0.391	0.26	1
CMTM8	0.173262321	0.425217391	-0.507260144	0.457	0.56	1
ANO10	0.173421494	0.566956522	0.584962501	0.391	0.28	1
UHRF1BP1L	0.173648475	0.56173913	0.397403825	0.326	0.2	1
WDR26	0.174716708	0.443043478	-0.803084485	0.152	0.26	1
KDM6B	0.174743264	0.567173913	0.447458977	0.413	0.28	1
CADM1	0.174776364	0.438913043	-1.011809302	0.196	0.3	1
TMEM245	0.174818308	0.440217391	-0.436099115	0.174	0.3	1
MAN1A1	0.175054606	0.561956522	0.348563221	0.326	0.2	1
KIAA1958	0.175410637	0.563913043	0.484866666	0.348	0.22	1
ZNF277	0.175639466	0.437826087	-0.506488443	0.196	0.32	1
SREK1	0.176159656	0.436086957	-0.386058432	0.217	0.36	1
MEF2A	0.176407274	0.425434783	-0.503014579	0.609	0.7	1
TUBB4B	0.176577734	0.432608696	-0.373114329	0.283	0.42	1
CALM2	0.17700032	0.429347826	-0.468572721	0.37	0.52	1
Cspg4b	0.177324421	0.432173913	-0.428404723	0.283	0.4	1
RPL6	0.177517454	0.433913043	-0.417362552	0.261	0.4	1
ACTR3-1	0.177642381	0.568913043	0.623532337	0.457	0.34	1
SLC30A7	0.177811517	0.569565217	0.446654575	0.478	0.34	1
Aak1	0.179158307	0.435434783	-0.386058432	0.239	0.38	1
ACBD3	0.179587283	0.559130435	0.430634354	0.304	0.18	1
DRG1	0.179669234	0.557391304	0.430634354	0.283	0.16	1
TSPAN7	0.179724828	0.43173913	-0.581047451	0.304	0.42	1
CDH1	0.179948814	0.561956522	0.710903298	0.326	0.22	1
OPTN	0.180022925	0.563695652	0.4486201	0.37	0.24	1
WASHC4	0.180022925	0.563695652	0.4486201	0.37	0.24	1
RBM33	0.180022925	0.563695652	0.4486201	0.37	0.24	1
TTF1	0.18008469	0.564782609	0.4657908	0.37	0.24	1
CSNK1G1	0.180189202	0.570434783	0.672835257	0.478	0.38	1
LOC112267992-16	0.180214406	0.430869565	-0.647045009	0.304	0.44	1
MAPK8	0.181074534	0.428043478	-0.363690619	0.413	0.56	1
CDS2	0.181518856	0.563478261	0.296617006	0.37	0.24	1
GBF1	0.182438721	0.432608696	-0.42202393	0.304	0.44	1
FARP2	0.183393787	0.565434783	0.418952549	0.413	0.28	1
APOC1	0.183517275	0.438043478	-0.501194143	0.217	0.34	1
LYST	0.183631667	0.563043478	0.658963082	0.348	0.24	1
FNBP1L	0.183971961	0.426086957	-0.466924241	0.609	0.72	1
NUP35	0.185285927	0.566956522	0.498805857	0.435	0.32	1
ZFYVE16	0.185296679	0.555652174	0.712636265	0.261	0.16	1
RSC1A1	0.185296679	0.555652174	0.712636265	0.261	0.16	1
ID1	0.186053013	0.444565217	-0.591580379	0.152	0.26	1
ADCY9	0.186053013	0.444565217	-0.591580379	0.152	0.26	1
TXLNG	0.186053013	0.444565217	-0.591580379	0.152	0.26	1
KIAA1217	0.186170488	0.430869565	-0.559185866	0.348	0.46	1
KCNJ8	0.186628373	0.442391304	-0.61667136	0.174	0.28	1
ARMC8	0.187025749	0.559782609	0.325613142	0.326	0.2	1
RPTOR	0.187025749	0.559782609	0.325613142	0.326	0.2	1
CEP95	0.187025749	0.559782609	0.413075983	0.326	0.2	1
CSE1L	0.187760093	0.433913043	-0.394278939	0.304	0.44	1
EHMT1	0.187830459	0.568695652	0.347259385	0.522	0.36	1
ARL15	0.187927921	0.42826087	-0.467157819	0.391	0.56	1
TLL1	0.188018703	0.428695652	-1.478971805	0.391	0.5	1
BTAF1	0.18828213	0.428695652	-0.384497918	0.435	0.56	1
STK4	0.189593613	0.442826087	-0.75802721	0.174	0.28	1
PTPN4	0.190042061	0.436521739	-0.394278939	0.239	0.38	1
UHRF1BP1	0.190837128	0.560217391	0.618545101	0.326	0.22	1
LOC107984203-2	0.190867581	0.442826087	-1.074521943	0.174	0.28	1
TM9SF3	0.190892456	0.571956522	0.395010445	0.674	0.56	1
KCTD8	0.191317049	0.443043478	-0.637732976	0.174	0.28	1
ELOVL7	0.191392815	0.433043478	-0.559527453	0.348	0.44	1
GARRE1	0.191411682	0.433695652	-0.446746359	0.304	0.44	1
ARHGAP35	0.191480193	0.436521739	-0.549557165	0.261	0.38	1
GSK3B	0.192537618	0.428695652	-0.29056759	0.5	0.64	1
EIF3E	0.192633827	0.434565217	-0.493814613	0.304	0.42	1
M6PR	0.192771998	0.555652174	0.350907162	0.283	0.16	1
SNAP23	0.193009057	0.560434783	0.397403825	0.348	0.22	1
KDM3B	0.193288046	0.443478261	-0.61667136	0.174	0.28	1
NOP14	0.193763494	0.438695652	-0.471240921	0.217	0.34	1
SMAD3	0.19408682	0.57326087	0.300866479	0.739	0.66	1
CBL	0.194110311	0.565	0.548387886	0.413	0.3	1
PAXBP1	0.194401118	0.436521739	-0.362914768	0.261	0.4	1
UBE2E3	0.195198905	0.441304348	-0.404126725	0.196	0.32	1
C2CD3	0.195467069	0.441956522	-0.637732976	0.196	0.3	1
VPS13C	0.19622705	0.570434783	0.289506617	0.717	0.66	1
DNAJC1	0.196790089	0.429565217	-0.332878394	0.5	0.62	1
SMG7	0.197451935	0.432173913	-0.275634443	0.391	0.54	1
RPL38	0.197655658	0.445869565	-0.546282033	0.152	0.26	1
POMP	0.19900103	0.553913043	0.637085232	0.261	0.16	1
RPS24	0.19900103	0.553913043	0.637085232	0.261	0.16	1
PTPRM	0.199307463	0.425652174	-0.459130083	0.717	0.74	1
TANC2	0.199947503	0.432391304	-0.714187866	0.37	0.48	1
CCSER2	0.201172166	0.56173913	0.370617588	0.391	0.26	1
SCAF11	0.201862117	0.431086957	-0.255405118	0.413	0.6	1
STAG2	0.201955931	0.446086957	-0.513577867	0.152	0.26	1
GNB1	0.203175888	0.568695652	0.419307937	0.565	0.5	1
ITGB6	0.20365698	0.555652174	0.922694274	0.283	0.18	1
UBAP1	0.20380815	0.555217391	0.605721061	0.283	0.18	1
ITGA3	0.20380815	0.555217391	0.605721061	0.283	0.18	1
SF3B1	0.203974527	0.434782609	-0.288345494	0.348	0.5	1
RBPJ	0.203996473	0.564782609	0.43467552	0.457	0.34	1
MCC	0.204683031	0.560217391	0.840676944	0.348	0.24	1
NOD1	0.204793203	0.563478261	0.43467552	0.413	0.3	1
MPHOSPH8	0.204845178	0.444782609	-0.573602639	0.174	0.28	1
SIPA1L3	0.204985213	0.563043478	0.348563221	0.435	0.3	1
GNL3	0.205074906	0.436086957	-0.304727354	0.304	0.44	1
MRPS35-1	0.20541107	0.56	0.550438625	0.348	0.24	1
NFIA	0.207245796	0.435217391	-0.346582197	0.326	0.46	1
HNRNPF	0.207728298	0.435434783	-0.288345494	0.326	0.48	1
EIF2S2	0.207814383	0.560434783	0.511084187	0.37	0.26	1
ZNRF2	0.208394587	0.569565217	0.472137907	0.63	0.54	1
FAR1	0.208413319	0.557826087	0.553253641	0.326	0.22	1
DPY19L4	0.208413319	0.557826087	0.553253641	0.326	0.22	1
QRICH1	0.208479008	0.442826087	-0.375663261	0.196	0.32	1
CSNK1G3	0.208676927	0.559130435	0.53108226	0.348	0.24	1
ARHGEF7	0.208676927	0.559130435	0.53108226	0.348	0.24	1
SERBP1	0.208731413	0.43826087	-0.341811519	0.261	0.4	1
MRPS6	0.209240338	0.435869565	-0.5342092	0.326	0.44	1
RPL22L1	0.210131912	0.447391304	-0.472281451	0.152	0.26	1
ZNF106	0.210131912	0.447391304	-0.472281451	0.152	0.26	1
ST14	0.210218279	0.443043478	-0.286026048	0.196	0.32	1
SELENOP	0.210306809	0.445217391	-0.82659443	0.174	0.28	1
CDH2	0.210313419	0.570434783	0.750837769	0.587	0.52	1
mikado.WCK01-AAH20201022-F8-rsc00089G16	0.210721021	0.436304348	-0.507046869	0.304	0.42	1
DYNC1LI1	0.211217242	0.439565217	-0.439793598	0.239	0.36	1
Ppp6r2	0.211374707	0.566086957	0.506711055	0.5	0.4	1
ENG	0.211692952	0.442173913	-0.633949352	0.217	0.32	1
EIF2B3	0.211853226	0.44173913	-0.411556931	0.217	0.34	1
RIN2	0.212165841	0.437173913	-0.388402373	0.283	0.42	1
RANBP2-1	0.212370466	0.563913043	0.623532337	0.457	0.36	1
ZNF644	0.213150813	0.433913043	-0.341036918	0.413	0.54	1
DCUN1D1	0.213405891	0.552173913	0.557358039	0.261	0.16	1
RSU1	0.213773229	0.561304348	0.348563221	0.413	0.28	1
EDIL3	0.214615666	0.563478261	0.89850281	0.413	0.32	1
ATR	0.214739883	0.442391304	-0.375663261	0.217	0.34	1
BZW1	0.215285835	0.442173913	-0.327164743	0.217	0.34	1
LIMS4;LIMS1	0.216538755	0.570652174	0.31081614	0.717	0.66	1
MYH10	0.217178774	0.436521739	-0.874983356	0.326	0.42	1
FMNL3	0.21746716	0.558913043	0.359081093	0.37	0.24	1
MAGI2	0.218404632	0.431521739	-0.275634443	0.435	0.62	1
MTMR14	0.218931305	0.560869565	0.394216956	0.413	0.28	1
BMP2K	0.219368866	0.432173913	-0.445128081	0.63	0.72	1
USP48	0.219742963	0.55326087	0.530170028	0.283	0.18	1
ATP2C1	0.220201167	0.433043478	-0.410861823	0.543	0.62	1
BEND7	0.220431485	0.441304348	-0.444905012	0.239	0.36	1
FOXO3	0.220495641	0.563478261	0.598067488	0.457	0.34	1
KDM6A	0.221054879	0.565652174	0.261540159	0.609	0.48	1
ATP8B1	0.221249772	0.559565217	0.348563221	0.391	0.26	1
FXR1-1	0.221487221	0.442391304	-0.916231642	0.239	0.34	1
R3HDM1	0.221487221	0.442391304	-0.560087832	0.239	0.34	1
ZNRF1	0.222075066	0.444347826	-0.350156386	0.196	0.32	1
FARSB	0.222448707	0.445217391	-0.535371258	0.196	0.3	1
ATF7IP	0.222448707	0.445217391	-0.535371258	0.196	0.3	1
SFPQ	0.222953819	0.437391304	-0.61667136	0.348	0.44	1
SPINT2	0.223138815	0.448913043	-0.394278939	0.152	0.26	1
SP3	0.223138815	0.448913043	-0.394278939	0.152	0.26	1
MAP3K3	0.223138815	0.448913043	-0.284096021	0.152	0.26	1
FAM91A1	0.223714435	0.44	-0.417362552	0.283	0.4	1
SRP72	0.226096139	0.445869565	-0.506488443	0.196	0.3	1
AHNAK	0.226096139	0.445869565	-0.506488443	0.196	0.3	1
TSPAN14	0.226096139	0.445869565	-0.506488443	0.196	0.3	1
YBX1-1	0.226096139	0.445869565	-0.506488443	0.196	0.3	1
COMMD1	0.226144993	0.446956522	-0.472281451	0.174	0.28	1
CLEC4G	0.226872316	0.443913043	-0.541120327	0.217	0.32	1
UBR3	0.226938208	0.431956522	-0.368387406	0.63	0.74	1
UBAP2	0.227957242	0.561521739	0.490243843	0.435	0.32	1
mikado.WCK01-AAH20201022-F8-rsc00083G1139	0.228014505	0.445869565	-0.439793598	0.196	0.3	1
CALCRL	0.22809448	0.440434783	-0.5513799	0.283	0.38	1
ZZZ3	0.228197663	0.558695652	0.492953131	0.391	0.28	1
CAMSAP2	0.229042107	0.56	0.314381286	0.413	0.28	1
mikado.WCK01-AAH20201022-F8-rsc00161G252	0.231211003	0.553695652	0.553253641	0.304	0.2	1
CCM2	0.231436275	0.560217391	0.447458977	0.435	0.32	1
CWF19L2	0.232735053	0.550434783	0.472965852	0.261	0.16	1
EDEM3	0.232735053	0.550434783	0.472965852	0.261	0.16	1
WWC1	0.23281549	0.444782609	-0.527034148	0.217	0.32	1
CYRIB	0.232902967	0.437826087	-0.275634443	0.348	0.48	1
DPY19L3	0.233884796	0.44826087	-0.436099115	0.174	0.28	1
SHLD2	0.233884796	0.44826087	-0.436099115	0.174	0.28	1
EHF	0.234807947	0.555652174	0.88582898	0.326	0.24	1
ABHD18	0.236714301	0.559565217	0.623532337	0.391	0.32	1
TAF3	0.236938657	0.438913043	-0.5342092	0.37	0.44	1
NAA15	0.237168591	0.438695652	-0.388402373	0.348	0.46	1
TTC19	0.237640832	0.555652174	0.4486201	0.348	0.24	1
LTF	0.237699171	0.549782609	0.596322363	0.261	0.16	1
SRSF7	0.237764869	0.435217391	-0.44318854	0.652	0.68	1
RIOK1	0.237840114	0.549565217	0.450442835	0.261	0.16	1
RUFY3	0.238616491	0.445652174	-0.501194143	0.217	0.32	1
AHCTF1	0.238816669	0.440434783	-0.304727354	0.304	0.44	1
OTUD7B	0.239143476	0.557826087	0.514573173	0.391	0.28	1
LOC106145280-1	0.239706947	0.553695652	0.819427754	0.304	0.22	1
PDCD6IP	0.239912312	0.436956522	-0.268185054	0.717	0.82	1
AP2A2	0.240512397	0.444782609	-0.501194143	0.239	0.34	1
SMURF1	0.240527026	0.565434783	0.279492829	0.717	0.62	1
OXSR1	0.241753778	0.445217391	-1.045514659	0.239	0.32	1
MICOS10	0.241798952	0.551304348	0.450442835	0.283	0.18	1
MAP3K4	0.241798952	0.551304348	0.450442835	0.283	0.18	1
PDE8A	0.241920424	0.561521739	0.425639444	0.5	0.38	1
MMADHC	0.244023326	0.446521739	-0.471240921	0.217	0.32	1
KIF2A	0.244725235	0.558043478	0.394216956	0.413	0.3	1
EDA	0.244976776	0.449347826	-0.439793598	0.174	0.28	1
ABL2	0.245021605	0.43673913	-0.332878394	0.435	0.58	1
CAMTA1	0.245038969	0.439565217	-0.448273829	0.37	0.48	1
RBPMS	0.245604762	0.566304348	0.396926243	0.87	0.8	1
NMT2	0.246220531	0.440434783	-0.807102017	0.326	0.42	1
EPC1	0.246223436	0.44173913	-0.42202393	0.304	0.42	1
ANKIB1	0.247718842	0.440434783	-0.363384931	0.348	0.46	1
PANK3	0.249068196	0.552173913	0.430634354	0.304	0.2	1
EIF2S1	0.249068196	0.447826087	-0.436099115	0.196	0.3	1
HSPH1	0.250673164	0.446521739	-1.740583964	0.217	0.32	1
RFX3	0.251344306	0.566304348	0.389253474	0.826	0.78	1
EIF3I	0.252423993	0.447826087	-0.766696804	0.217	0.3	1
RBM26	0.253716537	0.445217391	-0.47045062	0.261	0.36	1
ESF1	0.253937917	0.561086957	0.363150758	0.63	0.54	1
FOXO1	0.254642912	0.563913043	0.276413436	0.674	0.56	1
YWHAQ	0.254819928	0.553043478	0.413075983	0.326	0.22	1
ADGRE1	0.255451094	0.556956522	0.373274975	0.413	0.3	1
TAF1D	0.256275888	0.56	0.283792966	0.565	0.42	1
LMO7	0.256309032	0.554782609	0.274804183	0.37	0.26	1
ROCK2	0.25659931	0.437826087	-0.659740082	0.457	0.56	1
PTK2	0.259196939	0.43826087	-0.343652866	0.652	0.7	1
Pcm1	0.25951898	0.557608696	0.517184386	0.435	0.34	1
PTBP3	0.260392859	0.561086957	0.543793312	0.543	0.5	1
KCTD20	0.260664798	0.447173913	-0.439793598	0.239	0.34	1
TOR1AIP2	0.260664798	0.447173913	-0.439793598	0.239	0.34	1
PA2G4	0.260664798	0.447173913	-0.439793598	0.239	0.34	1
DYNC1H1	0.261970868	0.554782609	0.359081093	0.391	0.28	1
ZNF521	0.26453125	0.440652174	-0.63426542	0.391	0.46	1
GPATCH8	0.264982296	0.441304348	-0.429044357	0.435	0.5	1
TTLL5	0.265867893	0.549347826	0.618545101	0.283	0.2	1
HERC1	0.266063788	0.442173913	-0.5513799	0.391	0.46	1
TPM3	0.268751385	0.554782609	0.461331152	0.391	0.3	1
UPP1	0.269724738	0.548043478	0.413075983	0.283	0.18	1
ATF6	0.269819051	0.439782609	-0.424026283	0.478	0.62	1
ATAD2B	0.271345186	0.554782609	0.33893452	0.413	0.3	1
SLC12A7	0.27138359	0.552391304	0.511084187	0.348	0.26	1
DMTF1	0.271671255	0.553913043	0.348563221	0.391	0.28	1
MARCHF7	0.272097334	0.439565217	-0.280489282	0.478	0.58	1
CSDE1	0.272110845	0.549130435	0.250062109	0.304	0.2	1
TRIM44	0.273092853	0.444565217	-0.42202393	0.326	0.42	1
HECW2	0.273145166	0.441304348	-0.87553009	0.391	0.48	1
SYNRG	0.274105822	0.547608696	0.33752495	0.283	0.18	1
ADD3	0.27440598	0.446521739	-0.304727354	0.261	0.38	1
POC1B	0.275310154	0.553695652	0.394216956	0.391	0.28	1
CHTOP	0.276105574	0.447826087	-0.411556931	0.261	0.36	1
OSBPL3	0.276801309	0.559782609	0.444967705	0.565	0.46	1
ATXN10	0.277014552	0.45	-0.375663261	0.217	0.32	1
TMBIM6	0.278296833	0.549782609	0.325613142	0.326	0.22	1
KIF5B	0.282120729	0.54826087	0.325613142	0.304	0.2	1
MPRIP	0.283149322	0.556086957	0.392206791	0.478	0.38	1
HLCS	0.284107878	0.549347826	0.38332864	0.326	0.22	1
UBASH3B	0.284132889	0.441956522	-0.344758803	0.457	0.56	1
SHROOM2	0.28616746	0.441086957	-0.61667136	0.478	0.56	1
KMT2C	0.286340083	0.443043478	-0.31410859	0.413	0.54	1
TMEM26	0.287591364	0.451304348	-0.912127244	0.217	0.3	1
PRMT3	0.288212776	0.446086957	-0.304727354	0.326	0.44	1
ELP4	0.288245202	0.448913043	-0.442641961	0.261	0.36	1
HSPA8	0.288382181	0.555434783	0.79416615	0.435	0.36	1
NFE2L2	0.288406125	0.443913043	-0.316276427	0.413	0.5	1
mikado.WCK01-AAH20201022-F8-rsc00060G311	0.289094175	0.454565217	-0.506488443	0.174	0.26	1
HSPG2	0.289094175	0.454565217	-0.506488443	0.174	0.26	1
MTDH	0.289198318	0.555869565	0.326103771	0.5	0.38	1
Mecom	0.290225188	0.453043478	-0.733485025	0.196	0.28	1
PTEN	0.290313027	0.449130435	-0.386058432	0.261	0.36	1
CLOCK	0.291242097	0.451304348	-0.350156386	0.217	0.32	1
PTBP2	0.293150132	0.549565217	0.305326128	0.348	0.24	1
RPL10A	0.293700635	0.550869565	0.433081675	0.37	0.28	1
SMARCA5	0.29447425	0.455217391	-0.472281451	0.174	0.26	1
RRP1B	0.29447425	0.455217391	-0.472281451	0.174	0.26	1
RNF149	0.29447425	0.455217391	-0.472281451	0.174	0.26	1
MACROH2A1	0.294623502	0.450434783	-0.30633124	0.239	0.34	1
FNBP1	0.294740505	0.550217391	0.394216956	0.348	0.26	1
SYNE2	0.294781076	0.45	-0.581481932	0.261	0.34	1
DNM1L	0.29657303	0.450869565	-0.350156386	0.239	0.34	1
APEX1	0.296758659	0.453913043	-0.506488443	0.196	0.28	1
AFG3L2	0.297447107	0.551521739	0.406048716	0.391	0.3	1
VPS54	0.299270116	0.447608696	-0.42202393	0.326	0.42	1
SERPING1	0.29981488	0.544347826	0.530170028	0.261	0.18	1
DDX50	0.300090397	0.552173913	0.274804183	0.435	0.32	1
mikado.WCK01-AAH20201022-F8-rsc00440G4	0.300359944	0.554347826	0.339739371	0.478	0.4	1
RAB3GAP1	0.301360897	0.545652174	0.57797607	0.283	0.2	1
TNKS	0.301869807	0.443478261	-0.29056759	0.5	0.6	1
SRFBP1	0.302740121	0.550652174	0.33893452	0.391	0.28	1
GABPB1	0.304605744	0.450434783	-0.362914768	0.261	0.36	1
ARHGAP5	0.305607121	0.55	0.565920053	0.37	0.28	1
RASSF3	0.305620227	0.452608696	-0.327164743	0.217	0.32	1
mikado.WCK01-AAH20201022-F8-rsc01100G2	0.306487967	0.44326087	-0.266339551	0.674	0.7	1
THADA	0.306578261	0.443695652	-0.310862931	0.457	0.6	1
MARCHF3	0.310727132	0.558043478	0.416751641	0.652	0.64	1
UTP4	0.311007792	0.450434783	-0.350156386	0.261	0.36	1
AVEN	0.313757874	0.445434783	-0.336563441	0.457	0.54	1
HEATR5A	0.313817825	0.55	0.330086618	0.391	0.3	1
CLDN5	0.314547769	0.451086957	-0.5513799	0.261	0.36	1
EPRS1	0.314920876	0.45173913	-0.327164743	0.261	0.36	1
ANKRD28	0.315416072	0.450652174	-0.394278939	0.283	0.38	1
PPP1R13B	0.316914056	0.448913043	-0.288345494	0.348	0.44	1
SNW1	0.317150837	0.455869565	-0.436099115	0.196	0.28	1
ACTN4	0.31715521	0.447173913	-0.48703608	0.413	0.48	1
KLF5	0.317543413	0.455652174	-0.501194143	0.196	0.28	1
GNL3L	0.317929051	0.456956522	-0.394278939	0.174	0.26	1
LIMK2	0.317929051	0.456956522	-0.394278939	0.174	0.26	1
ABL1	0.317929051	0.456956522	-0.394278939	0.174	0.26	1
USP47	0.3187443	0.450434783	-0.341811519	0.304	0.4	1
PCBP2	0.319893568	0.45326087	-0.286026048	0.239	0.34	1
EEF1A1	0.320383646	0.553913043	0.261540159	0.587	0.46	1
MTREX	0.32038749	0.444347826	-0.383837192	0.587	0.66	1
KIFC3	0.320724753	0.457391304	-0.404126725	0.174	0.26	1
SEC23IP	0.321147036	0.542391304	0.450442835	0.261	0.18	1
PARVA	0.321293663	0.445652174	-0.525331049	0.5	0.52	1
GRB2	0.324147957	0.45	-0.318990812	0.326	0.42	1
ZNF445	0.32439149	0.543478261	0.430634354	0.283	0.2	1
LOC114083607	0.32439149	0.543478261	0.430634354	0.283	0.2	1
AP3M1	0.324851577	0.54673913	0.38332864	0.348	0.26	1
RPAP2	0.324851577	0.54673913	0.38332864	0.348	0.26	1
EIF1	0.326015639	0.545652174	0.397403825	0.326	0.24	1
RHOT1	0.326015639	0.545652174	0.397403825	0.326	0.24	1
CTNND1	0.326763998	0.446956522	-0.357284732	0.457	0.52	1
CCDC50	0.327300119	0.448913043	-0.488915813	0.391	0.44	1
CBLB	0.327649109	0.554565217	0.326297695	0.587	0.54	1
GRAP	0.328141558	0.45673913	-0.471240921	0.196	0.28	1
METTL25	0.329410305	0.448695652	-0.30256277	0.37	0.48	1
RAD54L2	0.329835958	0.54173913	0.430634354	0.261	0.18	1
HELZ	0.330593374	0.456956522	-0.404126725	0.196	0.28	1
CALD1	0.33169566	0.546304348	1.033142285	0.326	0.26	1
ITGA5	0.332863642	0.453695652	-0.442641961	0.261	0.34	1
mikado.WCK01-AAH20201022-F8-rsc00098G207	0.333054009	0.542826087	0.413075983	0.283	0.2	1
FBXO11	0.333386096	0.550652174	0.339739371	0.478	0.4	1
XIAP	0.333554288	0.546086957	0.370617588	0.348	0.26	1
HNRNPU	0.333827167	0.447173913	-0.327164743	0.609	0.68	1
Fth1	0.33434092	0.545217391	0.288691765	0.326	0.24	1
MDM4-1	0.334583976	0.543913043	0.397403825	0.304	0.22	1
FUT8	0.33542346	0.454565217	-0.265764199	0.239	0.34	1
ZDHHC18	0.335523462	0.457391304	-0.308549065	0.196	0.28	1
MTMR3	0.338223729	0.543695652	0.492953131	0.304	0.22	1
SLC10A7	0.338403457	0.541086957	0.413075983	0.261	0.18	1
LRBA	0.339018702	0.448478261	-0.266174113	0.435	0.52	1
BCLAF1	0.339199125	0.448695652	-0.301798023	0.478	0.58	1
CNOT4	0.340785155	0.550869565	0.27409957	0.543	0.48	1
JCAD	0.342948516	0.545869565	0.531720479	0.348	0.28	1
UBQLN1	0.343164578	0.453478261	-0.341811519	0.283	0.38	1
SH3RF1	0.344175678	0.553695652	0.297937148	0.652	0.54	1
SMARCAD1	0.344423449	0.457826087	-0.362098533	0.196	0.28	1
MEMO1	0.344559995	0.547608696	0.447458977	0.413	0.34	1
DYSF	0.344869277	0.450652174	-0.50390343	0.37	0.44	1
PISD	0.34489006	0.455869565	-0.411556931	0.239	0.32	1
MAX-1	0.345301287	0.454347826	-0.287363735	0.261	0.36	1
R3HCC1L	0.346584984	0.455217391	-0.411556931	0.261	0.34	1
ADIPOR1	0.346723231	0.459782609	-0.284096021	0.174	0.26	1
PIBF1	0.347474465	0.548043478	0.252932002	0.435	0.34	1
BRD1	0.347517169	0.45173913	-0.288345494	0.391	0.48	1
mikado.WCK01-AAH20201022-F8-rsc00002G120	0.348302598	0.540434783	0.366050648	0.261	0.18	1
ZNF330	0.348302598	0.540434783	0.366050648	0.261	0.18	1
CCNI	0.348302598	0.540434783	0.366050648	0.261	0.18	1
SMAD4	0.348302598	0.540434783	0.366050648	0.261	0.18	1
GON4L	0.348302598	0.540434783	0.366050648	0.261	0.18	1
FRMD4A	0.350241394	0.453695652	-0.493814613	0.304	0.38	1
SCAPER	0.351011795	0.449782609	-0.277582714	0.457	0.54	1
SMG6	0.35150208	0.451086957	-0.330916878	0.391	0.48	1
CDC27	0.35150208	0.451086957	-0.330916878	0.391	0.48	1
GRB10	0.352322282	0.44826087	-0.282553857	0.5	0.62	1
RALGAPA1	0.352980634	0.550217391	0.303360335	0.543	0.44	1
SCFD2	0.353330987	0.456521739	-0.442641961	0.239	0.32	1
EPB41L4A	0.354515523	0.541304348	0.350907162	0.283	0.2	1
SCMH1	0.355107472	0.540869565	0.413075983	0.283	0.2	1
PSMC6	0.355244478	0.539565217	0.257797757	0.261	0.18	1
ARID4B	0.355293252	0.547826087	0.257797757	0.478	0.38	1
THRAP3	0.356475748	0.451304348	-0.275634443	0.435	0.52	1
